Language,Native name,Suggested title
English,English,Sailing Almanac
Mandarin Chinese,中文（简体）,航海年鉴
Hindi,हिन्दी,नौकायन पंचांग
Spanish,Español,Almanaque de Vela
French,Français,Almanach de la Voile
Modern Standard Arabic,العربية,تقويم الإبحار
Bengali,বাংলা,পঞ্জিকা নৌযান
Portuguese,Português,Almanaque da Vela
Russian,Русский,Парусный альманах
Urdu,اردو,بادبانی المانک
Indonesian,Bahasa Indonesia,Almanak Pelayaran
German,Deutsch,Segelalmanach
Japanese,日本語,セーリング年鑑
Nigerian Pidgin,Nigerian Pidgin,Sailing Almanac
Egyptian Arabic,العربية المصرية,روزنامة الإبحار
Marathi,मराठी,नौकानयन पंचांग
Telugu,తెలుగు,నౌకాయాన పంచాంగం
Turkish,Türkçe,Yelken Almanağı
Tamil,தமிழ்,படகோட்ட ஆண்டு நூல்
Cantonese,粵語,航海年鑑
Vietnamese,Tiếng Việt,Niên giám Thuyền buồm
Wu Chinese,吴语,航海年鉴
Tagalog,Tagalog,Almanake ng Paglalayag
Korean,한국어,세일링 연감
Persian,فارسی,سالنامه بادبانی
Swahili,Kiswahili,Almanaki ya Ubaharia wa Tanga
Italian,Italiano,Almanacco della Vela
Western Punjabi,پنجابی,بادبانی المانک
Javanese,Basa Jawa,Almanak Pelayaran
Thai,ไทย,ปูมการเดินเรือใบ
Gujarati,ગુજરાતી,પતંગિયું નૌકાનયન પંચાંગ
Polish,Polski,Almanach Żeglarski
Ukrainian,Українська,Вітрильний альманах
Malayalam,മലയാളം,പായൽ അൽമനാക്ക്
Kannada,ಕನ್ನಡ,ಪಾಲಿನೌಕಾಯಾನ ಪಂಚಾಂಗ
Sundanese,Basa Sunda,Almanak Pelayaran
Romanian,Română,Almanahul Navigației cu Vele
Dutch,Nederlands,Zeilalmanak
Hausa,Hausa,Almanac ɗin Jirgin Ruwa da Iska
Burmese,မြန်မာ,ရွက်လှေအနှစ်ချုပ်
Yoruba,Yorùbá,Almánákì Iwakọ̀ Omi Pẹ̀lú Aṣọ Afẹ́fẹ́
Serbo-Croatian,Srpskohrvatski,Jedriličarski almanah
Amharic,አማርኛ,የመርከብ አልማናክ
Odia,ଓଡ଼ିଆ,ପତାକା ନୌକା ଆଲମାନାକ
Bhojpuri,भोजपुरी,पाल नाव अलमानक
Malay,Bahasa Melayu,Almanak Pelayaran
Maithili,मैथिली,नौकायन पंचांग
Sinhala,සිංහල,යාත්‍රා අල්මනැක්
Nepali,नेपाली,नौकायन पंचाङ्ग
Algerian Arabic,الدارجة الجزائرية,روزنامة الإبحار
